,Unnamed: 0.3,run_id,hermes_run,sample_time,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Acid Totalizer,Adjusted Feed Vessel Weight,Adjusted Second Feed Vessel Weight,Base totalizer,Broth Density,CO2 Evolved,Capillary Emulsion,Capillary Emulsion Dead Cell Layer,Capillary Free Fene,Capillary PCV,Capillary Pellet Dead Cell Layer,Feed Density,Feed Trs,H2O Evaporated,Myrcene Offgas,Myrcene Titer in grams,O2 Consumed,Overflow Weight,Overlay Amount,PSA,Tank Weight post sample,Tank Weight pre sample,Total_Cell_Density,Farnesene broth pA*s,Farnesene effluent_broth pA*s,Farnesene glucosidase_treat pA*s,Farnesene overflow pA*s,Farnesene overlay pA*s,Farnesene pellet pA*s,Farnesene resin_extract pA*s,Farnesene supernatant pA*s,Farnesene test_blank pA*s,Limonene broth pA*s,Limonene effluent_broth pA*s,Limonene glucosidase_treat pA*s,Limonene overflow pA*s,Limonene overlay pA*s,Limonene pellet pA*s,Limonene resin_extract pA*s,Limonene supernatant pA*s,Limonene test_blank pA*s,Myrcene  broth g/kg,Myrcene  broth pA*s,Myrcene  effluent_broth g/kg,Myrcene  effluent_broth pA*s,Myrcene  glucosidase_treat g/kg,Myrcene  glucosidase_treat pA*s,Myrcene  overflow g/kg,Myrcene  overflow pA*s,Myrcene  overlay g/kg,Myrcene  overlay pA*s,Myrcene  pellet g/kg,Myrcene  pellet pA*s,Myrcene  resin_extract g/kg,Myrcene  resin_extract pA*s,Myrcene  supernatant g/kg,Myrcene  supernatant pA*s,Myrcene  test_blank g/kg,Myrcene  test_blank pA*s,Valencene broth pA*s,Valencene effluent_broth pA*s,Valencene glucosidase_treat pA*s,Valencene overflow pA*s,Valencene overlay pA*s,Valencene pellet pA*s,Valencene resin_extract pA*s,Valencene supernatant pA*s,Valencene test_blank pA*s,a-Humulene overflow pA*s,b-Caryophyllene broth pA*s,b-Caryophyllene effluent_broth pA*s,b-Caryophyllene glucosidase_treat pA*s,b-Caryophyllene overflow pA*s,b-Caryophyllene overlay pA*s,b-Caryophyllene pellet pA*s,b-Caryophyllene resin_extract pA*s,b-Caryophyllene supernatant pA*s,b-Caryophyllene test_blank pA*s,d-Cadinene broth pA*s,d-Cadinene effluent_broth pA*s,d-Cadinene glucosidase_treat pA*s,d-Cadinene overflow pA*s,d-Cadinene overlay pA*s,d-Cadinene pellet pA*s,d-Cadinene resin_extract pA*s,d-Cadinene supernatant pA*s,d-Cadinene test_blank pA*s,cum_feed,cum_TRS,TRS_carbon,Cum_CO2_carbon,Weight_draw,Biomass_density,Avg_biomass_density,Tank_biomass,Biomass_draw,Cum_biomass_draw,Cum_biomass,Cum_biomass_carbon,Myrcene_draw,Cum_myrcene_draw,Tank_myrcene,Trap_myrcene,Effluent_myrcene,Cum_effluent_myrcene,Total_myrcene,Total_myrcene_carbon,CO2_percent,Biomass_percent,Myrcene_percent,Carbon_closure,TRS_O2,Myrcene_O2,TRS_biomass,TRS_product,TRS_other,shift_post_weight,Avg_interval_vol,Avg_vol,maintenance,run_id_duplicate,SclSubsB_PV,Cum_PSA_in,Cum_base_in,O2_consumed,Overlay_in,Cum_weight_draw,Cum_over_flow,Cum_tank_weight,Tank_weight_accumulated,H2O_evap,CO2_out,Mass_closure
0,0,142026.0,H11958-5,0.51,0.0,0.0,0.0,0.0,3476.2,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,1.28232,56.61526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2898,0.2961,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.006299999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.2902941176470588,0.2902941176470588,,142026.0,1477.97504,0.0,0.0,0.0,0.0,0.006299999999999972,0.0,296.09999999999997,0.0,0.0,0.0,
1,1,142026.0,H11958-5,52.59,1.0,1.0,1.0,0.0,3437.0,0.0,24.2,1.02,0.4103,0.0,0.18779,11.22066,12.26917,0.4225399999999999,1.28232,56.61526,1.16327,0.05176,3.7070133333333337,0.318,20.7,0.0203,2.7054,0.2583,0.2877,1143.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002285,0.0,0.002285,0.0,0.0,0.0,0.0,0.0,1.1292533333333334,0.08759,6.284773333333334,0.4419733333333333,0.0,0.0,6.284773333333334,0.4419733333333333,0.3158,0.01092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.19999999999982,22.193181919999898,8.87727276799996,4.9231076400000005,0.029400000000000037,24.361875,12.1809375,6.1692865808823525,0.7021952205882362,0.7021952205882362,6.871481801470589,3.082478021321691,0.033200048,0.033200048,0.291686136,0.05172804,0.130094808,0.130094808,0.5067090320000001,0.44590394816,55.45743347829077,34.72325456116597,5.0229835199765045,95.20367155943326,0.3877215569531778,0.0116965765905514,14.272067701654413,3.1922669016000005,4.728847316745485,0.2898,0.2830882352941176,0.2866911764705882,0.0257488050682419,142026.0,1458.3625,2.7054,24.2,10.176,19.61254000000008,0.03570000000000001,20.7,346.20000000000005,50.10000000000008,20.938860000000002,18.0532,0.9290687190452304
2,2,142026.0,H11958-5,72.73,2.0,2.0,2.0,0.0,3336.2,0.0,56.5,1.02,1.3269,0.0,1.7256600000000002,7.38938,16.99115,1.17994,1.28232,56.61526,1.63066,0.42903,10.459573333333331,1.0804,123.09999999999998,0.0962,8.3484,0.308,0.3394999999999999,1293.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091666666666666,0.0,0.0091666666666666,0.0,0.0,0.0,0.0,0.0,2.76323,0.2309599999999999,18.155916666666663,1.3159433333333332,0.0,0.0,18.155916666666663,1.3159433333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,79.261364,31.704545600000003,15.92120772,0.03149999999999992,27.556875,17.306250000000002,8.321095588235295,0.8510211397058801,1.5532163602941162,9.87431194852941,4.429517596990808,0.0870417449999997,0.1202417929999998,0.85107484,0.0,2.234993341666666,2.365088149666666,3.3364047826666656,2.936036208746666,50.21742913735373,13.971238234654928,9.260615956428234,73.4492833284369,0.4075721132090995,0.0226684279492664,20.508945917095584,21.019350130799992,37.73306795210442,0.2583,0.2930392156862744,0.2888071895424836,0.1038000485667039,142026.0,1362.745,11.053799999999999,56.5,34.5728,115.23004000000014,0.06719999999999993,143.79999999999998,500.79999999999995,204.7,29.35188,58.3836,0.8183294985088282
3,3,142026.0,H11958-5,96.14,3.0,3.0,3.0,0.0,3224.9,0.0,73.8,1.02,2.4999,0.0,0.62794,3.95604,22.2606,0.47096,1.28232,56.61525999999999,2.18751,0.86623,15.933058333333337,1.9513,198.6,0.1131,12.4254,0.3038,0.3353,1343.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219766666666666,0.0,0.0219766666666666,0.0,0.0,0.0,0.0,0.0,1.9211133333333328,0.1600966666666666,29.94500333333333,2.181283333333333,0.0,0.0,29.94500333333333,2.181283333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.29999999999973,142.27414837999982,56.90965935199993,29.99580012,0.03149999999999997,28.621875000000003,20.13515625,8.524829044117647,0.8839108455882345,2.4371272058823505,10.961956249999997,4.917423954187498,0.0605150699999999,0.1807568629999997,0.5836342306666665,0.0,5.947077661999999,8.312165811666665,9.07655690533333,7.98737007669333,52.7077484939222,8.640754504911106,14.035174639316544,75.38367763814986,0.4050694078022054,0.0341447811628304,22.76798313124999,57.18230850359998,62.32385674514984,0.308,0.3153431372549019,0.2954411764705882,0.108974321758141,142026.0,1249.33929,23.4792,73.8,62.4416,228.63575000000014,0.0986999999999999,342.4,730.8999999999999,434.7999999999999,39.37518,109.9956,0.9132569345221275
4,4,142026.0,H11958-5,120.23,4.0,4.0,4.0,0.0,3123.4,0.0,83.1,1.02,3.5254,0.0,1.00162,4.18324,21.94727,1.25203,1.28232,56.61525999999999,2.7308,1.31705,13.483478333333334,2.7496,202.75,0.1113999999999999,12.0825,0.28,0.301,1331.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01888,0.0,0.01888,0.0,0.0,0.0,0.0,0.0,1.880626666666667,0.1502733333333333,25.08633,1.8675566666666668,0.0,0.0,25.08633,1.8675566666666668,8.04507,0.84559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.7999999999997,199.7386372799998,79.89545491199993,42.30056952,0.020999999999999963,28.355625,21.77925,7.78389705882353,0.5837922794117636,3.0209194852941144,10.804816544117644,4.846932653525734,0.0394931599999999,0.2202500229999996,0.5265754666666668,1.3177824660000002,5.0862534075,13.398419219166666,15.463027174833332,13.607463913853332,52.94490101669932,6.066593724091489,17.03158700184027,76.04308174263107,0.4035710997963336,0.0412811933551457,22.441603962132348,97.41707120145,79.87996211641747,0.3038,0.2964705882352941,0.2956470588235294,0.1031830877855789,142026.0,1133.38223,35.5617,83.1,87.9872,344.5928100000001,0.11969999999999986,545.15,954.6499999999999,658.55,49.154399999999995,155.11759999999998,0.9544050793851093
5,5,142026.0,H11958-5,142.21,5.0,5.0,5.0,0.0,3039.4,0.0,91.2,1.02,4.5047,0.0,0.40425,4.89594,22.78784,1.12292,1.28232,56.61525999999999,3.24949,1.77741,12.542455,3.5009,166.4,0.118,10.4976,0.2751,0.3031,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192266666666666,0.0,0.0192266666666666,0.0,0.0,0.0,0.0,0.0,1.5296033333333334,0.1167833333333333,23.555306666666667,1.87088,0.0,0.0,23.555306666666667,1.87088,10.85035,0.7291400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.7999999999997,247.2954556799998,98.91818227199992,54.05099436,0.02799999999999997,26.625,22.586875000000003,7.180919117647059,0.7308823529411757,3.75180183823529,10.932720955882347,4.904309293599263,0.0428288933333332,0.2630789163333329,0.420793877,1.77728733,3.919603029333333,17.3180222485,19.779182371833333,17.40568048721333,54.6421225284685,4.957945223976776,17.596037540754764,77.19610529320003,0.392431558361183,0.0414720852421389,22.70726142536764,124.60884894255,99.97934531208216,0.28,0.2858333333333333,0.2940114379084967,0.1058667979682423,142026.0,1020.82437,46.0593,91.2,112.0288,457.15067,0.14769999999999983,711.55,1149.0499999999997,852.9499999999998,58.49082000000001,198.2068,0.9706175552461362
6,6,142026.0,H11958-5,166.12,6.0,6.0,6.0,0.0,2947.0,0.0,104.7,1.02,5.4791,0.0,0.31755,4.83545,20.16455,2.33834,1.28232,56.615260000000006,3.803840000000001,2.06207,10.30718,4.2855,169.9,0.1145,10.9134,0.2674,0.2996,1106.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143233333333333,0.0,0.0143233333333333,0.0,0.0,0.0,0.0,0.0,1.27387,0.10488,19.34049,1.45964,0.0,0.0,19.34049,1.45964,12.59527,0.82736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.1999999999998,299.60795591999994,119.843182368,65.74262508,0.03219999999999995,23.563125,22.726339285714285,6.177234926470589,0.7438555147058812,4.495657352941171,10.67289227941176,4.787752747621321,0.0410186139999999,0.3040975303333329,0.340632838,2.063105226,3.285949251,20.6039714995,23.31180709383333,20.51439024257333,54.85720904684046,3.995014695887887,17.117694838560123,75.96991858128847,0.3884001036051802,0.0399302183066121,22.167597264338223,146.86438469114998,130.57597396451175,0.2751,0.2817156862745097,0.2922549019607842,0.1183450401026988,142026.0,904.02063,56.9727,104.7,137.136,573.95441,0.17989999999999978,881.4499999999999,1351.1499999999996,1055.0499999999997,68.46912000000002,241.0804,0.9733490919029958
7,7,142028.0,H11958-6,0.59,10.0,10.0,10.0,0.0,3451.7,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,1.28232,56.61526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2912,0.3017,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.01050000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.2957843137254902,0.2957843137254902,,142028.0,1492.90503,0.0,0.0,0.0,0.0,0.01050000000000001,0.0,301.7,0.0,0.0,0.0,
8,8,142028.0,H11958-6,52.68,11.0,11.0,11.0,0.0,3389.4,0.0,35.5,1.02,0.607,0.0,0.06261,7.98247,15.08843,0.29739,1.28232,56.61526,1.15749,0.06946,5.134781666666667,0.4606,54.1,0.0373,2.7054,0.2674,0.301,1418.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048933333333333,0.0,0.0048933333333333,0.0,0.0,0.0,0.0,0.0,0.9526033333333332,0.0733633333333333,9.31696,0.6639966666666667,0.0,0.0,9.31696,0.6639966666666667,0.42266,0.01675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.29999999999973,35.27130697999985,14.10852279199994,7.283271599999999,0.03359999999999996,30.219375,15.1096875,7.922216544117648,0.9954617647058812,0.9954617647058812,8.917678308823529,4.000381312555147,0.0320074719999999,0.0320074719999999,0.2547261313333333,0.069231708,0.504047536,0.504047536,0.8600128473333333,0.7568113056533333,51.62320469248479,28.35435978331844,5.3642136516409336,85.34177812744416,0.4254270634920616,0.0137059217739082,18.52201784742647,5.418080938199999,11.331208194373382,0.2912,0.2902941176470588,0.2930392156862745,0.0485790734533148,142028.0,1457.66428,2.7054,35.5,14.7392,35.240749999999935,0.04409999999999997,54.1,389.4,87.69999999999999,20.834819999999997,26.708,0.898710871191118
9,9,142028.0,H11958-6,73.15,12.0,12.0,12.0,0.0,3275.3000000000006,0.0,66.9,1.02,1.7489,0.0,2.08637,8.25795,18.16458,0.99212,1.28232,56.61526,1.64469,0.33778,9.259075,1.3541999999999998,221.4,0.1781,8.3484,0.3066,0.3423,1481.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00724,0.0,0.00724,0.0,0.0,0.0,0.0,0.0,2.469533333333333,0.2055833333333333,16.048616666666664,1.15353,0.0,0.0,16.048616666666664,1.15353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.39999999999918,99.86931863999952,39.94772745599982,20.98470132,0.03570000000000001,31.550625,20.59,9.48374669117647,1.1042718750000005,2.0997336397058817,11.583480330882352,5.196233441630515,0.08816234,0.1201698119999999,0.7571589199999998,0.0,3.55316373,4.057211266,4.934539997999999,4.342395198239999,52.53040074210347,13.0075820892537,10.87019331205487,76.40817614341204,0.4097101964259322,0.026747987249924,24.058888647242647,31.087601987399992,44.722828005356895,0.2674,0.2988725490196078,0.2949836601307189,0.1006608563770389,142028.0,1279.53036,11.053799999999999,66.9,43.334399999999995,213.37466999999992,0.07979999999999998,275.5,646.5,344.8,29.60442,76.9516,0.8831712231412953
10,10,142028.0,H11958-6,96.5,13.0,13.0,13.0,0.0,3178.7,0.0,82.5,1.02,2.7338,0.0,0.99494,5.88811,24.92252,0.8970799999999999,1.28232,56.61525999999999,2.21406,0.6415,10.574494285714284,2.1499,311.4,0.2000999999999999,12.4254,0.2905,0.3101,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008955,0.0,0.008955,0.0,0.0,0.0,0.0,0.0,2.022083333333333,0.1671766666666666,16.9888025,1.2579725000000002,0.0,0.0,16.9888025,1.2579725000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,154.55965979999996,61.82386391999999,32.80231944,0.019600000000000006,37.275000000000006,24.76125,10.61606617647059,0.7162647058823532,2.815998345588235,13.432064522058823,6.025489823950368,0.0396328333333333,0.1598026453333333,0.5874152083333332,0.0,5.290313098499999,9.347524364499998,10.094742218166664,8.883373151986666,53.05769869454644,9.746220054682032,14.368841720216228,77.1727604694447,0.3993975425213574,0.0344670581485819,27.89839801231617,63.59687597444999,63.0643858132338,0.3066,0.3023039215686274,0.2968137254901961,0.089095597065364,142028.0,1074.68965,23.4792,82.5,68.7968,418.21537999999987,0.09939999999999999,586.9,977.5,675.8,39.85308,120.2872,0.9652986153280186
11,11,142028.0,H11958-6,120.5,14.0,14.0,14.0,0.0,3073.7,0.0,94.3,1.02,3.7315,0.0,1.04211,7.737330000000001,25.15346,1.21342,1.28232,56.61525999999999,2.70868,0.95749,9.9827,2.9373,290.3,0.2022999999999999,12.0825,0.2814,0.2989,1587.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129533333333333,0.0,0.0129533333333333,0.0,0.0,0.0,0.0,0.0,2.0881666666666665,0.16591,17.877233333333333,1.3244066666666665,0.0,0.0,17.877233333333333,1.3244066666666665,5.850790000000001,0.52205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,214.0056828,85.60227311999999,44.7735222,0.017500000000000016,33.813750000000006,26.57175,9.328616911764708,0.5801378676470593,3.396136213235294,12.724753125,5.70819700434375,0.0365429166666666,0.196345562,0.5876100999999999,0.958359402,5.189760836666666,14.537285201166664,16.279600265166664,14.326048233346665,52.30412764534308,6.668277367286518,16.735593239754223,75.70799825238382,0.4047664385660299,0.0406839090685574,26.429312240625,102.56148167054998,85.01488888882497,0.2905,0.2889215686274509,0.295235294117647,0.0900152609987862,142028.0,864.03384,35.5617,94.3,93.9936,628.8711899999998,0.1169,877.2,1285.3,983.5999999999999,48.756240000000005,164.186,0.9722243323128602
12,12,142028.0,H11958-6,142.5,15.0,15.0,15.0,0.0,2988.3,0.0,105.5,1.02,4.6233,0.0,0.62084,11.44124,26.29712,1.25647,1.28232,56.61525999999999,3.21103,1.31161,8.768263333333334,3.6475,257.5,0.2037,10.4976,0.2709,0.3003,1456.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063266666666666,0.0,0.0063266666666666,0.0,0.0,0.0,0.0,0.0,2.4911600000000003,0.1987,15.045366666666666,1.1031366666666669,0.0,0.0,15.045366666666666,1.1031366666666669,8.01116,0.50443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.39999999999964,262.35511483999977,104.94204593599991,55.47405204,0.029400000000000037,31.018125,27.312812500000003,8.238049080882353,0.8940518382352953,4.290188051470589,12.528237132352942,5.620041895202206,0.0732401040000001,0.2695856660000001,0.674855244,1.312228008,3.874181916666666,18.41146711783333,20.66813603583333,18.18795971153333,52.86160713298032,5.355376717764443,17.33143236279714,75.54841621354188,0.3995965499048051,0.0415942458234002,26.02114852389706,130.20925702575,106.12470929035273,0.2814,0.2851470588235294,0.2935539215686274,0.0929636603277978,142028.0,1569.03167,46.0593,105.5,116.72,-76.12664000000018,0.14630000000000004,1134.7,1572.2,1270.5,57.79854,203.42520000000002,2.3365380593528537
13,13,142028.0,H11958-6,166.21,16.0,16.0,16.0,0.0,2890.3,0.0,120.6,1.02,5.6124,0.0,0.23412,9.01375,23.500150000000005,1.6827599999999998,1.28232,56.615260000000006,3.77237,1.54042,8.679791666666667,4.4567,272.4,0.2108,10.9134,0.2674,0.2996,1318.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070799999999999,0.0,0.0070799999999999,0.0,0.0,0.0,0.0,0.0,1.4899466666666663,0.12457,15.869636666666668,1.1533866666666668,0.0,0.0,15.869636666666668,1.1533866666666668,9.40985,0.55448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.3999999999996,317.83806963999984,127.13522785599994,67.34206512,0.03219999999999995,28.089375,27.42375,7.363822426470589,0.886743014705881,5.17693106617647,12.54075349264706,5.625656609266544,0.0479762826666665,0.3175619486666667,0.3984117386666666,1.54133343,4.3228890280000005,22.73435614583333,24.991663263166664,21.992663671586666,52.96884762441702,4.42493925887989,17.298638656232022,74.69242553952894,0.3962050516201573,0.0411631880547988,26.047145004227943,157.44747855794998,134.3434460778219,0.2709,0.279656862745098,0.2915686274509804,0.1010861604862568,142028.0,1361.37678,56.9727,120.6,142.6144,131.52824999999984,0.1785,1407.1,1876.8,1575.1,67.90266,246.9456,1.8654818131025264
14,14,143217.0,H12078-5,1.18,20.0,20.0,20.0,0.0,3409.5999999999995,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,1.28232,56.61526,0.00226,0.0,0.0,0.0,0.0,0.0,0.0,0.2926,0.301,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.008399999999999963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.2950980392156863,0.2950980392156863,,,,0.0,0.0,0.0,,0.008399999999999963,0.0,301.0,0.0,0.040679999999999994,0.0,
15,15,143217.0,H12078-5,48.26,21.0,21.0,21.0,0.0,3359.0,0.0,28.899999999999995,1.02,0.5151,0.79652,0.23172,9.73208,12.62853,0.28965,1.28232,56.61526,1.0825,0.03405,2.164943333333333,0.4068,60.0,0.0701,1.377,0.2748,0.3003,1381.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4806866666666665,0.1166766666666666,2.8492,0.1808633333333333,0.0,0.0,2.8492,0.1808633333333333,0.20428,0.00687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.599999999999454,28.647321559999693,11.458928623999878,6.18058188,0.025500000000000023,29.420625,14.7103125,7.926262499999998,0.7355156250000006,0.7355156250000006,8.661778124999998,3.8855870490937487,0.03775751,0.03775751,0.4068926959999999,0.033461064,0.170952,0.170952,0.64906327,0.5711756776,53.93682151972941,33.9088162304779,4.984546953226629,92.83018470343394,0.3912285802469094,0.0117120611860718,17.990513165624996,4.089098601,6.567709793374696,0.2926,0.2906372549019608,0.2928676470588235,0.0315888154072431,,,1.377,28.899999999999995,13.0176,,0.033899999999999986,60.0,386.5,85.5,19.485,22.6644,
16,16,143217.0,H12078-5,72.61,22.0,22.0,22.0,0.0,3258.0,0.0,57.1,1.02,1.4218,0.0,0.42845,6.69809,21.1511,0.47129,1.28232,56.61526,1.64212,0.4481,11.498906666666668,1.1205,167.9,0.1181,1.7766,0.2738,0.3067,1775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0130933333333333,0.0,0.0130933333333333,0.0,0.0,0.0,0.0,0.0,2.30509,0.18608,20.692723333333333,1.423976666666667,0.0,0.0,20.692723333333333,1.423976666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.59999999999945,85.8287341599997,34.33149366399988,17.059893839999997,0.032899999999999985,37.8075,22.409375,10.148719117647058,1.2194772058823522,1.9549928308823528,12.10371194852941,5.429604142990808,0.0758374609999999,0.1135949709999999,0.6311336419999999,0.0,3.4743082476666665,3.645260247666666,4.389988860666666,3.863190197386666,49.69167379364289,15.81522842009146,11.25261322794592,76.75951544168026,0.4255477919579538,0.0287593324232302,25.139409717095585,27.65692982219999,33.032394620704125,0.2748,0.285049019607843,0.2902614379084967,0.0699398239672114,,,3.1536,57.1,35.856,,0.06679999999999997,227.9,587.3,286.29999999999995,29.55816,62.5592,
